Date,SPY,GLD,ETH,BTC
2021-09-28,432.198822,162.050003,2805.6852329844914,41034.87435337864
2021-09-29,432.92627,161.320007,2850.351911706943,41525.10903682676
2021-09-30,427.634888,164.220001,3000.5551344713454,43824.13505575568
2021-10-01,432.71698,164.589996,3310.168137235449,48147.86714268741
2021-10-04,427.136627,165.360001,3386.424155156631,49231.908659110086
2021-10-05,431.580994,164.589996,3515.2639760314587,51480.53217302344
2021-10-06,433.374664,165.029999,3576.020775730618,55324.11461593183
2021-10-07,437.12149,164.160004,3587.732856887902,53789.14542615488
2021-10-08,436.32428,164.229996,3563.21328556428,53953.37518931475
2021-10-11,433.165405,163.919998,3542.231690995453,57476.77024531762
2021-10-12,432.099152,164.660004,3491.1486291857714,55999.93526871766
2021-10-13,433.653687,167.589996,3607.6318771851297,57367.495756166936
2021-10-14,440.947998,168.0,3791.004405133863,57349.86175518462
2021-10-15,444.306183,165.330002,3869.1460344849124,61680.11726394645
2021-10-18,445.621552,164.919998,3745.305318011926,62018.60366706559
2021-10-19,449.059479,165.449997,3877.326170212513,64283.49905004036
2021-10-20,450.823273,166.899994,4159.751878603235,66032.18422472007
2021-10-21,451.999115,166.75,4053.399125926209,62199.58291073187
2021-10-22,451.530762,167.770004,3971.940213092593,60690.29879458467
2021-10-25,453.95224,168.929993,4220.468579417224,63081.24904385379
2021-10-26,454.360809,167.679993,4131.048633093427,60325.2409083391
2021-10-27,452.3479,168.119995,3923.2649407079193,58430.21404752557
2021-10-28,456.712524,168.080002,4287.080801321598,60589.08404392707
2021-10-29,457.639252,166.649994,4419.225732152892,62259.35177776487
2021-11-01,458.426514,167.520004,4320.674474577144,60922.82865549533
2021-11-02,460.279968,167.160004,4589.760457043296,63228.135764376755
2021-11-03,463.090088,165.770004,4603.387318292658,62907.65487275873
2021-11-04,465.2724,167.649994,4534.430543316235,61406.97015434894
2021-11-05,466.886719,169.839996,4476.361015889814,60957.60279989518
2021-11-08,467.285309,170.449997,4809.2769535261705,67532.2386280388
2021-11-09,465.740753,171.289993,4732.738665812222,66942.3800749876
2021-11-10,461.993927,173.149994,4631.522776956685,64897.4984676976
2021-11-11,462.143402,174.119995,4720.098763482248,64783.43278476198
2021-11-12,465.631134,174.449997,4666.496945071102,64127.364040302156
2021-11-15,465.790558,174.179993,4563.968393866175,63605.68275565794
2021-11-16,467.634094,172.919998,4209.764042384673,60073.58993246356
2021-11-17,466.498108,174.5,4288.728232071198,60347.968498872986
2021-11-18,468.08252,173.940002,3997.335088967211,56904.786755594185
2021-11-19,467.245483,172.610001,4296.522088196936,58074.814667050785
2021-11-22,465.930084,168.740005,4087.5459754529847,56265.54090555729
2021-11-23,466.547913,167.279999,4341.695775705654,57576.09844032931
2021-11-24,467.793518,167.119995,4272.6101330588335,57173.26416503922
2021-11-26,457.36026,166.850006,4040.2820007718356,53729.05402972527
2021-11-29,462.97052,166.619995,4446.448196786172,57798.56356562588
2021-11-30,453.962219,165.5,4631.615792017568,56960.6335775627
